table,dataset,backbone,shots,rank,params,encoder,position,n_seeds,mean_acc,std_acc,mean_sec,total_sec,seeds
fig3,eurosat,ViT-B/16,4,1,k,both,all,1,85.98,0.0,486,486,1
fig3,eurosat,ViT-B/16,4,1,k,text,all,1,71.59,0.0,483,483,1
fig3,eurosat,ViT-B/16,4,1,k,vision,all,1,87.02,0.0,379,379,1
fig3,eurosat,ViT-B/16,4,1,o,both,all,1,84.12,0.0,489,489,1
fig3,eurosat,ViT-B/16,4,1,o,text,all,1,77.6,0.0,480,480,1
fig3,eurosat,ViT-B/16,4,1,o,vision,all,1,83.44,0.0,461,461,1
fig3,eurosat,ViT-B/16,4,1,q,both,all,1,86.02,0.0,505,505,1
fig3,eurosat,ViT-B/16,4,1,q,text,all,1,75.46,0.0,457,457,1
fig3,eurosat,ViT-B/16,4,1,q,vision,all,1,87.9,0.0,417,417,1
fig3,eurosat,ViT-B/16,4,1,q_v,both,all,1,87.96,0.0,587,587,1
fig3,eurosat,ViT-B/16,4,1,q_v,text,all,1,79.48,0.0,497,497,1
fig3,eurosat,ViT-B/16,4,1,q_v,vision,all,1,88.37,0.0,521,521,1
fig3,eurosat,ViT-B/16,4,1,q_v_k,both,all,1,87.27,0.0,623,623,1
fig3,eurosat,ViT-B/16,4,1,q_v_k,text,all,1,77.19,0.0,514,514,1
fig3,eurosat,ViT-B/16,4,1,q_v_k,vision,all,1,88.47,0.0,515,515,1
fig3,eurosat,ViT-B/16,4,1,q_v_k_o,both,all,1,87.06,0.0,650,650,1
fig3,eurosat,ViT-B/16,4,1,q_v_k_o,text,all,1,78.94,0.0,503,503,1
fig3,eurosat,ViT-B/16,4,1,q_v_k_o,vision,all,1,88.81,0.0,537,537,1
fig3,eurosat,ViT-B/16,4,1,v,both,all,1,86.14,0.0,582,582,1
fig3,eurosat,ViT-B/16,4,1,v,text,all,1,77.77,0.0,465,465,1
fig3,eurosat,ViT-B/16,4,1,v,vision,all,1,87.05,0.0,462,462,1
fig3,eurosat,ViT-B/16,4,2,k,both,all,1,84.84,0.0,629,629,1
fig3,eurosat,ViT-B/16,4,2,k,text,all,1,74.58,0.0,519,519,1
fig3,eurosat,ViT-B/16,4,2,k,vision,all,1,88.35,0.0,503,503,1
fig3,eurosat,ViT-B/16,4,2,o,both,all,1,85.22,0.0,557,557,1
fig3,eurosat,ViT-B/16,4,2,o,text,all,1,78.63,0.0,498,498,1
fig3,eurosat,ViT-B/16,4,2,o,vision,all,1,84.59,0.0,487,487,1
fig3,eurosat,ViT-B/16,4,2,q,both,all,1,87.38,0.0,570,570,1
fig3,eurosat,ViT-B/16,4,2,q,text,all,1,75.41,0.0,481,481,1
fig3,eurosat,ViT-B/16,4,2,q,vision,all,1,87.9,0.0,478,478,1
fig3,eurosat,ViT-B/16,4,2,q_k_v,both,all,1,87.05,0.0,581,581,1
fig3,eurosat,ViT-B/16,4,2,q_k_v,both,bottom,1,81.49,0.0,569,569,1
fig3,eurosat,ViT-B/16,4,2,q_k_v,both,up,1,81.94,0.0,453,453,1
fig3,eurosat,ViT-B/16,4,2,q_v,both,all,1,87.33,0.0,518,518,1
fig3,eurosat,ViT-B/16,4,2,q_v,text,all,1,77.51,0.0,494,494,1
fig3,eurosat,ViT-B/16,4,2,q_v,vision,all,1,88.41,0.0,502,502,1
fig3,eurosat,ViT-B/16,4,2,q_v_k,both,all,1,87.73,0.0,576,576,1
fig3,eurosat,ViT-B/16,4,2,q_v_k,text,all,1,79.57,0.0,519,519,1
fig3,eurosat,ViT-B/16,4,2,q_v_k,vision,all,1,88.01,0.0,515,515,1
fig3,eurosat,ViT-B/16,4,2,q_v_k_o,both,all,1,87.36,0.0,676,676,1
fig3,eurosat,ViT-B/16,4,2,q_v_k_o,text,all,1,79.65,0.0,503,503,1
fig3,eurosat,ViT-B/16,4,2,q_v_k_o,vision,all,1,86.85,0.0,516,516,1
fig3,eurosat,ViT-B/16,4,2,v,both,all,1,86.23,0.0,586,586,1
fig3,eurosat,ViT-B/16,4,2,v,text,all,1,79.2,0.0,488,488,1
fig3,eurosat,ViT-B/16,4,2,v,vision,all,1,86.89,0.0,509,509,1
fig3,eurosat,ViT-B/16,4,4,k,both,all,1,84.27,0.0,539,539,1
fig3,eurosat,ViT-B/16,4,4,k,text,all,1,73.6,0.0,466,466,1
fig3,eurosat,ViT-B/16,4,4,k,vision,all,1,87.79,0.0,478,478,1
fig3,eurosat,ViT-B/16,4,4,o,both,all,1,84.23,0.0,546,546,1
fig3,eurosat,ViT-B/16,4,4,o,text,all,1,78.85,0.0,481,481,1
fig3,eurosat,ViT-B/16,4,4,o,vision,all,1,85.01,0.0,462,462,1
