table,dataset,backbone,shots,rank,params,encoder,position,kl_weight,kl_temp,n_seeds,mean_acc,std_acc,mean_sec,total_sec,seeds
kl,eurosat,ViT-B/16,1,2,q_k_v,both,all,0.1,4,1,72.31,0.0,228,228,1
kl,eurosat,ViT-B/16,1,2,q_k_v,both,all,0.1,8,1,72.43,0.0,232,232,1
kl,eurosat,ViT-B/16,1,2,q_k_v,both,all,0.3,4,1,70.01,0.0,238,238,1
kl,eurosat,ViT-B/16,1,2,q_k_v,both,all,0.3,8,1,70.28,0.0,255,255,1
kl,eurosat,ViT-B/16,1,2,q_k_v,both,all,1.0,4,1,66.2,0.0,233,233,1
kl,eurosat,ViT-B/16,1,2,q_k_v,both,all,1.0,8,1,66.65,0.0,290,290,1
kl,eurosat,ViT-B/16,4,2,q_k_v,both,all,0.1,4,1,87.81,0.0,763,763,1
kl,eurosat,ViT-B/16,4,2,q_k_v,both,all,0.1,8,1,87.86,0.0,627,627,1
kl,eurosat,ViT-B/16,4,2,q_k_v,both,all,0.3,4,1,87.26,0.0,655,655,1
kl,eurosat,ViT-B/16,4,2,q_k_v,both,all,0.3,8,1,87.38,0.0,649,649,1
kl,eurosat,ViT-B/16,4,2,q_k_v,both,all,1.0,4,1,77.78,0.0,754,754,1
kl,eurosat,ViT-B/16,4,2,q_k_v,both,all,1.0,8,1,79.19,0.0,743,743,1
kl,eurosat,ViT-B/16,16,2,q_k_v,both,all,0.1,4,1,91.54,0.0,2129,2129,1
kl,eurosat,ViT-B/16,16,2,q_k_v,both,all,0.1,8,1,91.72,0.0,2146,2146,1
kl,eurosat,ViT-B/16,16,2,q_k_v,both,all,0.3,4,1,91.7,0.0,2077,2077,1
kl,eurosat,ViT-B/16,16,2,q_k_v,both,all,0.3,8,1,91.85,0.0,2027,2027,1
kl,eurosat,ViT-B/16,16,2,q_k_v,both,all,1.0,4,1,87.9,0.0,2092,2092,1
kl,eurosat,ViT-B/16,16,2,q_k_v,both,all,1.0,8,1,88.75,0.0,2240,2240,1
kl,food101,ViT-B/16,1,2,q_k_v,both,all,0.1,4,1,85.97,0.0,434,434,1
kl,food101,ViT-B/16,1,2,q_k_v,both,all,0.1,8,1,85.89,0.0,378,378,1
kl,food101,ViT-B/16,1,2,q_k_v,both,all,0.3,4,1,86.19,0.0,402,402,1
kl,food101,ViT-B/16,1,2,q_k_v,both,all,0.3,8,1,86.14,0.0,385,385,1
kl,food101,ViT-B/16,1,2,q_k_v,both,all,1.0,4,1,86.07,0.0,371,371,1
kl,food101,ViT-B/16,1,2,q_k_v,both,all,1.0,8,1,86.16,0.0,374,374,1
kl,food101,ViT-B/16,4,2,q_k_v,both,all,0.1,4,1,85.2,0.0,722,722,1
kl,food101,ViT-B/16,4,2,q_k_v,both,all,0.1,8,1,85.17,0.0,718,718,1
kl,food101,ViT-B/16,4,2,q_k_v,both,all,0.3,4,1,86.09,0.0,706,706,1
kl,food101,ViT-B/16,4,2,q_k_v,both,all,0.3,8,1,85.96,0.0,711,711,1
kl,food101,ViT-B/16,4,2,q_k_v,both,all,1.0,4,1,86.4,0.0,722,722,1
kl,food101,ViT-B/16,4,2,q_k_v,both,all,1.0,8,1,86.45,0.0,727,727,1
kl,food101,ViT-B/16,16,2,q_k_v,both,all,0.1,4,1,86.45,0.0,1931,1931,1
kl,food101,ViT-B/16,16,2,q_k_v,both,all,0.1,8,1,86.47,0.0,1918,1918,1
kl,food101,ViT-B/16,16,2,q_k_v,both,all,0.3,4,1,87.09,0.0,1787,1787,1
kl,food101,ViT-B/16,16,2,q_k_v,both,all,0.3,8,1,87.22,0.0,1727,1727,1
kl,food101,ViT-B/16,16,2,q_k_v,both,all,1.0,4,1,87.04,0.0,1727,1727,1
kl,food101,ViT-B/16,16,2,q_k_v,both,all,1.0,8,1,87.23,0.0,1730,1730,1
kl,oxford_pets,ViT-B/16,1,2,q_k_v,both,all,0.1,4,1,92.59,0.0,204,204,1
kl,oxford_pets,ViT-B/16,1,2,q_k_v,both,all,0.1,8,1,92.61,0.0,188,188,1
kl,oxford_pets,ViT-B/16,1,2,q_k_v,both,all,0.3,4,1,91.61,0.0,186,186,1
kl,oxford_pets,ViT-B/16,1,2,q_k_v,both,all,0.3,8,1,91.91,0.0,194,194,1
kl,oxford_pets,ViT-B/16,1,2,q_k_v,both,all,1.0,4,1,90.13,0.0,199,199,1
kl,oxford_pets,ViT-B/16,1,2,q_k_v,both,all,1.0,8,1,90.22,0.0,176,176,1
kl,oxford_pets,ViT-B/16,4,2,q_k_v,both,all,0.1,4,1,91.17,0.0,479,479,1
kl,oxford_pets,ViT-B/16,4,2,q_k_v,both,all,0.1,8,1,91.44,0.0,483,483,1
kl,oxford_pets,ViT-B/16,4,2,q_k_v,both,all,0.3,4,1,91.61,0.0,492,492,1
kl,oxford_pets,ViT-B/16,4,2,q_k_v,both,all,0.3,8,1,91.96,0.0,486,486,1
kl,oxford_pets,ViT-B/16,4,2,q_k_v,both,all,1.0,4,1,90.41,0.0,486,486,1
kl,oxford_pets,ViT-B/16,4,2,q_k_v,both,all,1.0,8,1,91.2,0.0,482,482,1
kl,oxford_pets,ViT-B/16,16,2,q_k_v,both,all,0.1,4,1,92.86,0.0,1472,1472,1
kl,oxford_pets,ViT-B/16,16,2,q_k_v,both,all,0.1,8,1,93.05,0.0,1463,1463,1
kl,oxford_pets,ViT-B/16,16,2,q_k_v,both,all,0.3,4,1,93.27,0.0,1489,1489,1
kl,oxford_pets,ViT-B/16,16,2,q_k_v,both,all,0.3,8,1,93.49,0.0,1501,1501,1
kl,oxford_pets,ViT-B/16,16,2,q_k_v,both,all,1.0,4,1,92.31,0.0,1532,1532,1
kl,oxford_pets,ViT-B/16,16,2,q_k_v,both,all,1.0,8,1,92.91,0.0,1549,1549,1
kl_table3,caltech101,ViT-B/16,1,2,q_k_v,both,all,0.1,8,3,94.04,0.21,164,492,"1,2,3"
kl_table3,caltech101,ViT-B/16,2,2,q_k_v,both,all,0.1,8,3,94.98,0.66,273,818,"1,2,3"
kl_table3,caltech101,ViT-B/16,4,2,q_k_v,both,all,0.1,8,3,95.47,0.26,473,1419,"1,2,3"
kl_table3,caltech101,ViT-B/16,8,2,q_k_v,both,all,0.1,8,3,95.95,0.06,874,2623,"1,2,3"
kl_table3,caltech101,ViT-B/16,16,2,q_k_v,both,all,0.1,8,3,96.46,0.26,1641,4923,"1,2,3"
kl_table3,dtd,ViT-B/16,1,2,q_k_v,both,all,0.1,8,3,54.65,1.19,192,577,"1,2,3"
kl_table3,dtd,ViT-B/16,2,2,q_k_v,both,all,0.1,8,3,59.55,1.33,316,949,"1,2,3"
kl_table3,dtd,ViT-B/16,4,2,q_k_v,both,all,0.1,8,3,64.6,0.31,638,1913,"1,2,3"
kl_table3,dtd,ViT-B/16,8,2,q_k_v,both,all,0.1,8,3,68.38,1.91,921,2763,"1,2,3"
kl_table3,dtd,ViT-B/16,16,2,q_k_v,both,all,0.1,8,3,74.02,0.74,1627,4882,"1,2,3"
kl_table3,eurosat,ViT-B/16,1,2,q_k_v,both,all,0.1,8,3,73.24,5.07,228,683,"1,2,3"
kl_table3,eurosat,ViT-B/16,2,2,q_k_v,both,all,0.1,8,3,83.27,3.25,457,1371,"1,2,3"
