table,dataset,backbone,shots,rank,params,encoder,position,n_seeds,mean_acc,std_acc,mean_sec,total_sec,seeds
table3,caltech101,ViT-B/16,1,2,q_k_v,both,all,3,93.9,0.07,166,499,"1,2,3"
table3,caltech101,ViT-B/16,2,2,q_k_v,both,all,3,94.81,0.21,256,767,"1,2,3"
table3,caltech101,ViT-B/16,4,2,q_k_v,both,all,3,94.98,0.37,431,1293,"1,2,3"
table3,caltech101,ViT-B/16,8,2,q_k_v,both,all,3,95.7,0.12,761,2282,"1,2,3"
table3,caltech101,ViT-B/16,16,2,q_k_v,both,all,3,96.19,0.21,1420,4260,"1,2,3"
table3,dtd,ViT-B/16,1,2,q_k_v,both,all,3,54.0,0.57,182,546,"1,2,3"
table3,dtd,ViT-B/16,2,2,q_k_v,both,all,3,59.87,1.32,298,895,"1,2,3"
table3,dtd,ViT-B/16,4,2,q_k_v,both,all,3,63.67,0.33,460,1381,"1,2,3"
table3,dtd,ViT-B/16,8,2,q_k_v,both,all,3,67.48,0.49,713,2140,"1,2,3"
table3,dtd,ViT-B/16,16,2,q_k_v,both,all,3,71.79,0.79,1237,3711,"1,2,3"
table3,eurosat,ViT-B/16,1,2,q_k_v,both,all,3,71.1,7.54,218,654,"1,2,3"
table3,eurosat,ViT-B/16,2,2,q_k_v,both,all,3,82.05,2.75,472,1416,"1,2,3"
table3,eurosat,ViT-B/16,4,2,q_k_v,both,all,3,85.25,1.67,603,1808,"1,2,3"
table3,eurosat,ViT-B/16,8,2,q_k_v,both,all,3,89.08,1.33,1033,3098,"1,2,3"
table3,eurosat,ViT-B/16,16,2,q_k_v,both,all,3,92.34,1.39,1850,5551,"1,2,3"
table3,fgvc,ViT-B/16,1,2,q_k_v,both,all,3,29.79,2.0,200,599,"1,2,3"
table3,fgvc,ViT-B/16,2,2,q_k_v,both,all,3,32.63,1.35,293,880,"1,2,3"
table3,fgvc,ViT-B/16,4,2,q_k_v,both,all,3,37.99,1.52,464,1393,"1,2,3"
table3,fgvc,ViT-B/16,8,2,q_k_v,both,all,3,45.4,1.03,808,2423,"1,2,3"
table3,fgvc,ViT-B/16,16,2,q_k_v,both,all,3,54.93,0.49,1464,4393,"1,2,3"
table3,food101,ViT-B/16,1,2,q_k_v,both,all,3,84.66,0.38,235,706,"1,2,3"
table3,food101,ViT-B/16,2,2,q_k_v,both,all,3,83.3,0.06,345,1036,"1,2,3"
table3,food101,ViT-B/16,4,2,q_k_v,both,all,3,82.96,0.28,530,1589,"1,2,3"
table3,food101,ViT-B/16,8,2,q_k_v,both,all,3,83.12,0.09,854,2561,"1,2,3"
table3,food101,ViT-B/16,16,2,q_k_v,both,all,3,84.14,0.41,1508,4524,"1,2,3"
table3,imagenet,ViT-B/16,1,2,q_k_v,both,all,3,70.4,0.01,734,2203,"1,2,3"
table3,imagenet,ViT-B/16,2,2,q_k_v,both,all,3,70.84,0.02,1130,3389,"1,2,3"
table3,imagenet,ViT-B/16,4,2,q_k_v,both,all,3,71.52,0.11,1852,5557,"1,2,3"
