table,dataset,backbone,shots,seed,rank,params,encoder,position,dropout,accuracy,status,start_time,seconds
fig3,eurosat,ViT-B/16,4,1,1,k,vision,all,0.25,87.02.,OK,2026-06-14T16:44:11,379
fig3,eurosat,ViT-B/16,4,1,1,k,text,all,0.25,71.59.,OK,2026-06-14T16:50:30,483
fig3,eurosat,ViT-B/16,4,1,1,k,both,all,0.25,85.98.,OK,2026-06-14T16:58:33,486
fig3,eurosat,ViT-B/16,4,1,1,q,vision,all,0.25,87.90.,OK,2026-06-14T17:06:39,417
fig3,eurosat,ViT-B/16,4,1,1,q,text,all,0.25,75.46.,OK,2026-06-14T17:13:36,457
fig3,eurosat,ViT-B/16,4,1,1,q,both,all,0.25,86.02.,OK,2026-06-14T17:21:13,505
fig3,eurosat,ViT-B/16,4,1,1,v,vision,all,0.25,87.05.,OK,2026-06-14T17:29:38,462
fig3,eurosat,ViT-B/16,4,1,1,v,text,all,0.25,77.77.,OK,2026-06-14T17:37:20,465
fig3,eurosat,ViT-B/16,4,1,1,v,both,all,0.25,86.14.,OK,2026-06-14T17:45:05,582
fig3,eurosat,ViT-B/16,4,1,1,o,vision,all,0.25,83.44.,OK,2026-06-14T17:54:47,461
fig3,eurosat,ViT-B/16,4,1,1,o,text,all,0.25,77.60.,OK,2026-06-14T18:02:28,480
fig3,eurosat,ViT-B/16,4,1,1,o,both,all,0.25,84.12.,OK,2026-06-14T18:10:28,489
fig3,eurosat,ViT-B/16,4,1,1,q_v,vision,all,0.25,88.37.,OK,2026-06-14T18:18:37,521
fig3,eurosat,ViT-B/16,4,1,1,q_v,text,all,0.25,79.48.,OK,2026-06-14T18:27:18,497
fig3,eurosat,ViT-B/16,4,1,1,q_v,both,all,0.25,87.96.,OK,2026-06-14T18:35:35,587
fig3,eurosat,ViT-B/16,4,1,1,q_v_k,vision,all,0.25,88.47.,OK,2026-06-14T18:45:22,515
fig3,eurosat,ViT-B/16,4,1,1,q_v_k,text,all,0.25,77.19.,OK,2026-06-14T18:53:57,514
