table,dataset,backbone,shots,seed,rank,params,encoder,position,dropout,kl_weight,kl_temp,accuracy,status,start_time,seconds
kl,food101,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.1,4,85.97.,OK,2026-06-22T23:07:43,434
kl,food101,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.1,8,85.89.,OK,2026-06-22T23:14:57,378
kl,food101,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.3,4,86.19.,OK,2026-06-22T23:21:15,402
kl,food101,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.3,8,86.14.,OK,2026-06-22T23:27:57,385
kl,food101,ViT-B/16,1,1,2,q_k_v,both,all,0.25,1.0,4,86.07.,OK,2026-06-22T23:34:22,371
kl,food101,ViT-B/16,1,1,2,q_k_v,both,all,0.25,1.0,8,86.16.,OK,2026-06-22T23:40:33,374
kl,food101,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.1,4,85.20.,OK,2026-06-22T23:46:47,722
kl,food101,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.1,8,85.17.,OK,2026-06-22T23:58:49,718
kl,food101,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.3,4,86.09.,OK,2026-06-23T00:10:47,706
kl,food101,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.3,8,85.96.,OK,2026-06-23T00:22:34,711
kl,food101,ViT-B/16,4,1,2,q_k_v,both,all,0.25,1.0,4,86.40.,OK,2026-06-23T00:34:25,722
kl,food101,ViT-B/16,4,1,2,q_k_v,both,all,0.25,1.0,8,86.45.,OK,2026-06-23T00:46:27,727
kl,food101,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.1,4,86.45.,OK,2026-06-23T00:58:34,1931
kl,food101,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.1,8,86.47.,OK,2026-06-23T01:30:46,1918
kl,food101,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.3,4,87.09.,OK,2026-06-23T02:02:44,1787
kl,food101,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.3,8,87.22.,OK,2026-06-23T02:32:31,1727
kl,food101,ViT-B/16,16,1,2,q_k_v,both,all,0.25,1.0,4,87.04.,OK,2026-06-23T03:01:18,1727
kl,food101,ViT-B/16,16,1,2,q_k_v,both,all,0.25,1.0,8,87.23.,OK,2026-06-23T03:30:05,1730
kl,oxford_pets,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.1,4,92.59.,OK,2026-06-23T03:58:55,204
kl,oxford_pets,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.1,8,92.61.,OK,2026-06-23T04:02:19,188
kl,oxford_pets,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.3,4,91.61.,OK,2026-06-23T04:05:27,186
kl,oxford_pets,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.3,8,91.91.,OK,2026-06-23T04:08:33,194
kl,oxford_pets,ViT-B/16,1,1,2,q_k_v,both,all,0.25,1.0,4,90.13.,OK,2026-06-23T04:11:47,199
kl,oxford_pets,ViT-B/16,1,1,2,q_k_v,both,all,0.25,1.0,8,90.22.,OK,2026-06-23T04:15:06,176
kl,oxford_pets,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.1,4,91.17.,OK,2026-06-23T04:18:02,479
kl,oxford_pets,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.1,8,91.44.,OK,2026-06-23T04:26:01,483
kl,oxford_pets,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.3,4,91.61.,OK,2026-06-23T04:34:04,492
kl,oxford_pets,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.3,8,91.96.,OK,2026-06-23T04:42:16,486
kl,oxford_pets,ViT-B/16,4,1,2,q_k_v,both,all,0.25,1.0,4,90.41.,OK,2026-06-23T04:50:22,486
kl,oxford_pets,ViT-B/16,4,1,2,q_k_v,both,all,0.25,1.0,8,91.20.,OK,2026-06-23T04:58:28,482
kl,oxford_pets,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.1,4,92.86.,OK,2026-06-23T05:06:30,1472
kl,oxford_pets,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.1,8,93.05.,OK,2026-06-23T05:31:02,1463
kl,oxford_pets,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.3,4,93.27.,OK,2026-06-23T05:55:25,1489
kl,oxford_pets,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.3,8,93.49.,OK,2026-06-23T06:20:14,1501
kl,oxford_pets,ViT-B/16,16,1,2,q_k_v,both,all,0.25,1.0,4,92.31.,OK,2026-06-23T06:45:15,1532
kl,oxford_pets,ViT-B/16,16,1,2,q_k_v,both,all,0.25,1.0,8,92.91.,OK,2026-06-23T07:10:47,1549
kl,eurosat,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.1,4,72.31.,OK,2026-06-23T07:36:36,228
kl,eurosat,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.1,8,72.43.,OK,2026-06-23T07:40:24,232
kl,eurosat,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.3,4,70.01.,OK,2026-06-23T07:44:16,238
kl,eurosat,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.3,8,70.28.,OK,2026-06-23T07:48:14,255
kl,eurosat,ViT-B/16,1,1,2,q_k_v,both,all,0.25,1.0,4,66.20.,OK,2026-06-23T07:52:29,233
kl,eurosat,ViT-B/16,1,1,2,q_k_v,both,all,0.25,1.0,8,66.65.,OK,2026-06-23T07:56:22,290
kl,eurosat,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.1,4,87.81.,OK,2026-06-23T08:01:12,763
kl,eurosat,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.1,8,87.86.,OK,2026-06-23T08:13:55,627
kl,eurosat,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.3,4,87.26.,OK,2026-06-23T08:24:22,655
kl,eurosat,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.3,8,87.38.,OK,2026-06-23T08:35:17,649
kl,eurosat,ViT-B/16,4,1,2,q_k_v,both,all,0.25,1.0,4,77.78.,OK,2026-06-23T08:46:06,754
kl,eurosat,ViT-B/16,4,1,2,q_k_v,both,all,0.25,1.0,8,79.19.,OK,2026-06-23T08:58:40,743
kl,eurosat,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.1,4,91.54.,OK,2026-06-23T09:11:03,2129
kl,eurosat,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.1,8,91.72.,OK,2026-06-23T09:46:32,2146
kl,eurosat,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.3,4,91.70.,OK,2026-06-23T10:22:18,2077
kl,eurosat,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.3,8,91.85.,OK,2026-06-23T10:56:55,2027
kl,eurosat,ViT-B/16,16,1,2,q_k_v,both,all,0.25,1.0,4,87.90.,OK,2026-06-23T11:30:42,2092
kl,eurosat,ViT-B/16,16,1,2,q_k_v,both,all,0.25,1.0,8,88.75.,OK,2026-06-23T12:05:34,2240
kl_table3,eurosat,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.1,8,72.43,OK,2026-06-23T15:12:46,240
kl_table3,eurosat,ViT-B/16,1,2,2,q_k_v,both,all,0.25,0.1,8,78.67,OK,2026-06-23T15:16:46,210
kl_table3,eurosat,ViT-B/16,1,3,2,q_k_v,both,all,0.25,0.1,8,68.63,OK,2026-06-23T15:20:16,233
kl_table3,eurosat,ViT-B/16,2,1,2,q_k_v,both,all,0.25,0.1,8,87.01,OK,2026-06-23T15:24:09,453
kl_table3,eurosat,ViT-B/16,2,2,2,q_k_v,both,all,0.25,0.1,8,81.15,OK,2026-06-23T15:31:42,491
kl_table3,eurosat,ViT-B/16,2,3,2,q_k_v,both,all,0.25,0.1,8,81.64,OK,2026-06-23T15:39:53,427
kl_table3,eurosat,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.1,8,87.86,OK,2026-06-23T15:47:00,685
kl_table3,eurosat,ViT-B/16,4,2,2,q_k_v,both,all,0.25,0.1,8,87.91,OK,2026-06-23T15:58:25,604
kl_table3,eurosat,ViT-B/16,4,3,2,q_k_v,both,all,0.25,0.1,8,83.19,OK,2026-06-23T16:08:29,621
kl_table3,eurosat,ViT-B/16,8,1,2,q_k_v,both,all,0.25,0.1,8,90.89,OK,2026-06-23T16:18:50,1104
kl_table3,eurosat,ViT-B/16,8,2,2,q_k_v,both,all,0.25,0.1,8,89.74,OK,2026-06-23T16:37:14,1167
kl_table3,eurosat,ViT-B/16,8,3,2,q_k_v,both,all,0.25,0.1,8,89.98,OK,2026-06-23T16:56:41,1059
kl_table3,eurosat,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.1,8,91.72,OK,2026-06-23T17:14:20,2018
kl_table3,eurosat,ViT-B/16,16,2,2,q_k_v,both,all,0.25,0.1,8,93.38,OK,2026-06-23T17:47:58,2073
kl_table3,eurosat,ViT-B/16,16,3,2,q_k_v,both,all,0.25,0.1,8,93.42,OK,2026-06-23T18:22:31,2082
kl_table3,caltech101,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.1,8,94.16,OK,2026-06-23T18:57:13,169
kl_table3,caltech101,ViT-B/16,1,2,2,q_k_v,both,all,0.25,0.1,8,93.79,OK,2026-06-23T19:00:02,163
kl_table3,caltech101,ViT-B/16,1,3,2,q_k_v,both,all,0.25,0.1,8,94.16,OK,2026-06-23T19:02:45,160
kl_table3,caltech101,ViT-B/16,2,1,2,q_k_v,both,all,0.25,0.1,8,94.24,OK,2026-06-23T19:05:25,276
kl_table3,caltech101,ViT-B/16,2,2,2,q_k_v,both,all,0.25,0.1,8,95.21,OK,2026-06-23T19:10:01,266
kl_table3,caltech101,ViT-B/16,2,3,2,q_k_v,both,all,0.25,0.1,8,95.50,OK,2026-06-23T19:14:27,276
kl_table3,caltech101,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.1,8,95.62,OK,2026-06-23T19:19:03,472
kl_table3,caltech101,ViT-B/16,4,2,2,q_k_v,both,all,0.25,0.1,8,95.17,OK,2026-06-23T19:26:55,482
kl_table3,caltech101,ViT-B/16,4,3,2,q_k_v,both,all,0.25,0.1,8,95.62,OK,2026-06-23T19:34:57,465
kl_table3,caltech101,ViT-B/16,8,1,2,q_k_v,both,all,0.25,0.1,8,95.94,OK,2026-06-23T19:42:42,881
kl_table3,caltech101,ViT-B/16,8,2,2,q_k_v,both,all,0.25,0.1,8,96.02,OK,2026-06-23T19:57:23,868
kl_table3,caltech101,ViT-B/16,8,3,2,q_k_v,both,all,0.25,0.1,8,95.90,OK,2026-06-23T20:11:51,874
kl_table3,caltech101,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.1,8,96.71,OK,2026-06-23T20:26:25,1637
kl_table3,caltech101,ViT-B/16,16,2,2,q_k_v,both,all,0.25,0.1,8,96.47,OK,2026-06-23T20:53:42,1640
kl_table3,caltech101,ViT-B/16,16,3,2,q_k_v,both,all,0.25,0.1,8,96.19,OK,2026-06-23T21:21:02,1646
kl_table3,oxford_pets,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.1,8,92.61,OK,2026-06-23T21:48:28,220
kl_table3,oxford_pets,ViT-B/16,1,2,2,q_k_v,both,all,0.25,0.1,8,91.41,OK,2026-06-23T21:52:08,205
kl_table3,oxford_pets,ViT-B/16,1,3,2,q_k_v,both,all,0.25,0.1,8,91.17,OK,2026-06-23T21:55:33,198
kl_table3,oxford_pets,ViT-B/16,2,1,2,q_k_v,both,all,0.25,0.1,8,90.95,OK,2026-06-23T21:58:51,350
kl_table3,oxford_pets,ViT-B/16,2,2,2,q_k_v,both,all,0.25,0.1,8,90.90,OK,2026-06-23T22:04:41,333
kl_table3,oxford_pets,ViT-B/16,2,3,2,q_k_v,both,all,0.25,0.1,8,91.88,OK,2026-06-23T22:10:14,314
kl_table3,oxford_pets,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.1,8,91.44,OK,2026-06-23T22:15:28,541
kl_table3,oxford_pets,ViT-B/16,4,2,2,q_k_v,both,all,0.25,0.1,8,91.69,OK,2026-06-23T22:24:29,545
kl_table3,oxford_pets,ViT-B/16,4,3,2,q_k_v,both,all,0.25,0.1,8,91.66,OK,2026-06-23T22:33:34,533
kl_table3,oxford_pets,ViT-B/16,8,1,2,q_k_v,both,all,0.25,0.1,8,92.80,OK,2026-06-23T22:42:27,847
kl_table3,oxford_pets,ViT-B/16,8,2,2,q_k_v,both,all,0.25,0.1,8,92.80,OK,2026-06-23T22:56:34,848
kl_table3,oxford_pets,ViT-B/16,8,3,2,q_k_v,both,all,0.25,0.1,8,92.59,OK,2026-06-23T23:10:42,831
kl_table3,oxford_pets,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.1,8,93.05,OK,2026-06-23T23:24:33,1544
kl_table3,oxford_pets,ViT-B/16,16,2,2,q_k_v,both,all,0.25,0.1,8,93.57,OK,2026-06-23T23:50:17,1747
kl_table3,oxford_pets,ViT-B/16,16,3,2,q_k_v,both,all,0.25,0.1,8,93.59,OK,2026-06-24T00:19:24,1773
kl_table3,oxford_flowers,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.1,8,81.53,OK,2026-06-24T00:48:57,251
kl_table3,oxford_flowers,ViT-B/16,1,2,2,q_k_v,both,all,0.25,0.1,8,82.95,OK,2026-06-24T00:53:08,268
kl_table3,oxford_flowers,ViT-B/16,1,3,2,q_k_v,both,all,0.25,0.1,8,79.37,OK,2026-06-24T00:57:36,251
kl_table3,oxford_flowers,ViT-B/16,2,1,2,q_k_v,both,all,0.25,0.1,8,89.61,OK,2026-06-24T01:01:47,365
kl_table3,oxford_flowers,ViT-B/16,2,2,2,q_k_v,both,all,0.25,0.1,8,90.01,OK,2026-06-24T01:07:52,357
kl_table3,oxford_flowers,ViT-B/16,2,3,2,q_k_v,both,all,0.25,0.1,8,90.38,OK,2026-06-24T01:13:49,348
kl_table3,oxford_flowers,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.1,8,94.11,OK,2026-06-24T01:19:37,566
kl_table3,oxford_flowers,ViT-B/16,4,2,2,q_k_v,both,all,0.25,0.1,8,94.23,OK,2026-06-24T01:29:03,517
kl_table3,oxford_flowers,ViT-B/16,4,3,2,q_k_v,both,all,0.25,0.1,8,93.75,OK,2026-06-24T01:37:40,485
kl_table3,oxford_flowers,ViT-B/16,8,1,2,q_k_v,both,all,0.25,0.1,8,96.47,OK,2026-06-24T01:45:45,871
kl_table3,oxford_flowers,ViT-B/16,8,2,2,q_k_v,both,all,0.25,0.1,8,95.78,OK,2026-06-24T02:00:16,870
kl_table3,oxford_flowers,ViT-B/16,8,3,2,q_k_v,both,all,0.25,0.1,8,96.14,OK,2026-06-24T02:14:46,872
kl_table3,oxford_flowers,ViT-B/16,16,1,2,q_k_v,both,all,0.25,0.1,8,98.54,OK,2026-06-24T02:29:18,1657
kl_table3,oxford_flowers,ViT-B/16,16,2,2,q_k_v,both,all,0.25,0.1,8,97.73,OK,2026-06-24T02:56:55,1670
kl_table3,oxford_flowers,ViT-B/16,16,3,2,q_k_v,both,all,0.25,0.1,8,97.97,OK,2026-06-24T03:24:45,1666
kl_table3,food101,ViT-B/16,1,1,2,q_k_v,both,all,0.25,0.1,8,85.89,OK,2026-06-24T03:52:31,265
kl_table3,food101,ViT-B/16,1,2,2,q_k_v,both,all,0.25,0.1,8,85.37,OK,2026-06-24T03:56:56,245
kl_table3,food101,ViT-B/16,1,3,2,q_k_v,both,all,0.25,0.1,8,84.89,OK,2026-06-24T04:01:01,242
kl_table3,food101,ViT-B/16,2,1,2,q_k_v,both,all,0.25,0.1,8,84.97,OK,2026-06-24T04:05:03,354
kl_table3,food101,ViT-B/16,2,2,2,q_k_v,both,all,0.25,0.1,8,85.52,OK,2026-06-24T04:10:57,354
kl_table3,food101,ViT-B/16,2,3,2,q_k_v,both,all,0.25,0.1,8,85.02,OK,2026-06-24T04:16:51,363
kl_table3,food101,ViT-B/16,4,1,2,q_k_v,both,all,0.25,0.1,8,85.17,OK,2026-06-24T04:22:54,559
kl_table3,food101,ViT-B/16,4,2,2,q_k_v,both,all,0.25,0.1,8,85.40,OK,2026-06-24T04:32:13,563
