table,dataset,backbone,shots,seed,rank,params,encoder,position,dropout,accuracy,status,start_time,seconds
fig3,stanford_cars,ViT-B/16,4,1,1,k,vision,all,0.25,68.30.,OK,2026-06-23T08:38:21,270
fig3,stanford_cars,ViT-B/16,4,1,1,k,text,all,0.25,71.62.,OK,2026-06-23T08:42:51,396
fig3,stanford_cars,ViT-B/16,4,1,1,k,both,all,0.25,73.16.,OK,2026-06-23T08:49:27,492
fig3,stanford_cars,ViT-B/16,4,1,1,q,vision,all,0.25,68.82.,OK,2026-06-23T08:57:39,271
fig3,stanford_cars,ViT-B/16,4,1,1,q,text,all,0.25,73.16.,OK,2026-06-23T09:02:10,394
fig3,stanford_cars,ViT-B/16,4,1,1,q,both,all,0.25,74.51.,OK,2026-06-23T09:08:44,499
fig3,stanford_cars,ViT-B/16,4,1,1,v,vision,all,0.25,70.20.,OK,2026-06-23T09:17:03,264
fig3,stanford_cars,ViT-B/16,4,1,1,v,text,all,0.25,73.64.,OK,2026-06-23T09:21:27,393
fig3,stanford_cars,ViT-B/16,4,1,1,v,both,all,0.25,74.61.,OK,2026-06-23T09:28:00,492
fig3,stanford_cars,ViT-B/16,4,1,1,o,vision,all,0.25,70.30.,OK,2026-06-23T09:36:12,265
fig3,stanford_cars,ViT-B/16,4,1,1,o,text,all,0.25,73.85.,OK,2026-06-23T11:24:24,387
fig3,stanford_cars,ViT-B/16,4,1,1,o,both,all,0.25,75.72.,OK,2026-06-23T11:30:51,491
fig3,stanford_cars,ViT-B/16,4,1,1,q_v,vision,all,0.25,71.02.,OK,2026-06-23T11:39:02,276
fig3,stanford_cars,ViT-B/16,4,1,1,q_v,text,all,0.25,75.08.,OK,2026-06-23T11:43:38,404
fig3,stanford_cars,ViT-B/16,4,1,1,q_v,both,all,0.25,76.04.,OK,2026-06-23T11:50:22,523
fig3,stanford_cars,ViT-B/16,4,1,1,q_v_k,vision,all,0.25,,OK,2026-06-23T11:59:05,288
fig3,stanford_cars,ViT-B/16,4,1,1,q_v_k,text,all,0.25,75.41.,OK,2026-06-23T12:03:53,426
fig3,stanford_cars,ViT-B/16,4,1,1,q_v_k,both,all,0.25,76.45.,OK,2026-06-23T12:10:59,557
fig3,stanford_cars,ViT-B/16,4,1,1,q_v_k_o,vision,all,0.25,71.43.,OK,2026-06-23T12:20:16,305
fig3,stanford_cars,ViT-B/16,4,1,1,q_v_k_o,text,all,0.25,74.95.,OK,2026-06-23T12:25:21,443
fig3,stanford_cars,ViT-B/16,4,1,1,q_v_k_o,both,all,0.25,76.84.,OK,2026-06-23T12:32:44,583
fig3,stanford_cars,ViT-B/16,4,1,2,k,vision,all,0.25,68.62.,OK,2026-06-23T12:42:27,264
fig3,stanford_cars,ViT-B/16,4,1,2,k,text,all,0.25,72.44.,OK,2026-06-23T12:46:51,395
fig3,stanford_cars,ViT-B/16,4,1,2,k,both,all,0.25,74.28.,OK,2026-06-23T12:53:26,495
fig3,stanford_cars,ViT-B/16,4,1,2,q,vision,all,0.25,68.78.,OK,2026-06-23T13:01:41,265
fig3,stanford_cars,ViT-B/16,4,1,2,q,text,all,0.25,73.55.,OK,2026-06-23T13:06:06,393
fig3,stanford_cars,ViT-B/16,4,1,2,q,both,all,0.25,74.67.,OK,2026-06-23T13:12:39,495
fig3,stanford_cars,ViT-B/16,4,1,2,v,vision,all,0.25,70.89.,OK,2026-06-23T13:20:54,266
fig3,stanford_cars,ViT-B/16,4,1,2,v,text,all,0.25,74.54.,OK,2026-06-23T13:25:20,396
fig3,stanford_cars,ViT-B/16,4,1,2,v,both,all,0.25,75.45.,OK,2026-06-23T13:31:56,497
fig3,stanford_cars,ViT-B/16,4,1,2,o,vision,all,0.25,70.82.,OK,2026-06-23T13:40:13,264
fig3,stanford_cars,ViT-B/16,4,1,2,o,text,all,0.25,74.80.,OK,2026-06-23T13:44:37,396
fig3,stanford_cars,ViT-B/16,4,1,2,o,both,all,0.25,75.51.,OK,2026-06-23T13:51:13,496
fig3,stanford_cars,ViT-B/16,4,1,2,q_v,vision,all,0.25,72.02.,OK,2026-06-23T13:59:29,277
fig3,stanford_cars,ViT-B/16,4,1,2,q_v,text,all,0.25,75.25.,OK,2026-06-23T14:04:06,406
fig3,stanford_cars,ViT-B/16,4,1,2,q_v,both,all,0.25,76.78.,OK,2026-06-23T14:10:52,530
fig3,stanford_cars,ViT-B/16,4,1,2,q_v_k,vision,all,0.25,72.06.,OK,2026-06-23T14:19:43,295
fig3,stanford_cars,ViT-B/16,4,1,2,q_v_k,text,all,0.25,75.77.,OK,2026-06-23T14:24:38,428
fig3,stanford_cars,ViT-B/16,4,1,2,q_v_k,both,all,0.25,76.81.,OK,2026-06-23T14:31:46,556
fig3,stanford_cars,ViT-B/16,4,1,2,q_v_k_o,vision,all,0.25,72.57.,OK,2026-06-23T14:41:02,304
fig3,stanford_cars,ViT-B/16,4,1,2,q_v_k_o,text,all,0.25,75.99.,OK,2026-06-23T14:46:06,439
fig3,stanford_cars,ViT-B/16,4,1,2,q_v_k_o,both,all,0.25,76.78.,OK,2026-06-23T14:53:25,584
fig3,stanford_cars,ViT-B/16,4,1,4,k,vision,all,0.25,68.97.,OK,2026-06-23T15:03:09,264
fig3,stanford_cars,ViT-B/16,4,1,4,k,text,all,0.25,74.16.,OK,2026-06-23T15:07:33,394
fig3,stanford_cars,ViT-B/16,4,1,4,k,both,all,0.25,75.45.,OK,2026-06-23T15:14:07,496
fig3,stanford_cars,ViT-B/16,4,1,4,q,vision,all,0.25,69.08.,OK,2026-06-23T15:22:23,266
fig3,stanford_cars,ViT-B/16,4,1,4,q,text,all,0.25,74.03.,OK,2026-06-23T15:26:49,392
fig3,stanford_cars,ViT-B/16,4,1,4,q,both,all,0.25,75.07.,OK,2026-06-23T15:33:21,493
fig3,stanford_cars,ViT-B/16,4,1,4,v,vision,all,0.25,71.52.,OK,2026-06-23T15:41:34,268
fig3,stanford_cars,ViT-B/16,4,1,4,v,text,all,0.25,75.12.,OK,2026-06-23T15:46:02,396
fig3,stanford_cars,ViT-B/16,4,1,4,v,both,all,0.25,76.52.,OK,2026-06-23T15:52:38,494
fig3,stanford_cars,ViT-B/16,4,1,4,o,vision,all,0.25,71.07.,OK,2026-06-23T16:00:52,261
fig3,stanford_cars,ViT-B/16,4,1,4,o,text,all,0.25,74.89.,OK,2026-06-23T16:05:13,393
fig3,stanford_cars,ViT-B/16,4,1,4,o,both,all,0.25,76.97.,OK,2026-06-23T16:11:46,488
fig3,stanford_cars,ViT-B/16,4,1,4,q_v,vision,all,0.25,72.30.,OK,2026-06-23T16:19:54,278
fig3,stanford_cars,ViT-B/16,4,1,4,q_v,text,all,0.25,75.62.,OK,2026-06-23T16:24:32,406
fig3,stanford_cars,ViT-B/16,4,1,4,q_v,both,all,0.25,77.35.,OK,2026-06-23T16:31:18,524
