dataset,backbone,shots,seeds_done,your_mean,paper_table4,difference
imagenet,ViT-B/32,1,3,65.26,65.2,+0.06
imagenet,ViT-B/32,2,3,65.70,65.7,+0.00
imagenet,ViT-B/32,4,3,66.55,66.5,+0.05
imagenet,ViT-B/32,8,3,67.17,67.2,-0.03
imagenet,ViT-B/32,16,3,68.36,68.4,-0.04
fgvc,ViT-B/32,1,3,22.93,22.9,+0.03
fgvc,ViT-B/32,2,3,23.64,24.1,-0.46
fgvc,ViT-B/32,4,3,28.31,27.7,+0.61
fgvc,ViT-B/32,8,3,35.68,36.1,-0.42
fgvc,ViT-B/32,16,3,46.07,44.9,+1.17
eurosat,ViT-B/32,1,3,67.88,67.1,+0.78
eurosat,ViT-B/32,2,3,80.68,80.8,-0.12
eurosat,ViT-B/32,4,3,84.43,85.6,-1.17
eurosat,ViT-B/32,8,3,89.06,88.8,+0.26
eurosat,ViT-B/32,16,3,91.89,91.8,+0.09
stanford_cars,ViT-B/32,1,3,63.59,63.5,+0.09
stanford_cars,ViT-B/32,2,3,64.62,64.8,-0.18
stanford_cars,ViT-B/32,4,3,68.45,68.3,+0.15
stanford_cars,ViT-B/32,8,3,74.60,74.4,+0.20
stanford_cars,ViT-B/32,16,3,79.90,79.7,+0.20
food101,ViT-B/32,1,3,78.55,78.4,+0.15
food101,ViT-B/32,2,3,76.55,76.3,+0.25
food101,ViT-B/32,4,3,76.05,75.6,+0.45
food101,ViT-B/32,8,3,76.82,76.7,+0.12
food101,ViT-B/32,16,3,78.11,78.2,-0.09
oxford_pets,ViT-B/32,1,3,88.02,88.7,-0.68
oxford_pets,ViT-B/32,2,3,86.81,86.6,+0.21
oxford_pets,ViT-B/32,4,3,86.34,86.3,+0.04
oxford_pets,ViT-B/32,8,3,88.22,87.7,+0.52
oxford_pets,ViT-B/32,16,3,89.04,88.8,+0.24
oxford_flowers,ViT-B/32,1,3,77.45,77.4,+0.05
oxford_flowers,ViT-B/32,2,3,84.22,84.7,-0.48
oxford_flowers,ViT-B/32,4,3,90.15,90.1,+0.05
oxford_flowers,ViT-B/32,8,3,92.67,92.4,+0.27
oxford_flowers,ViT-B/32,16,3,96.05,96.2,-0.15
caltech101,ViT-B/32,1,3,92.97,93.0,-0.03
caltech101,ViT-B/32,2,3,93.90,93.7,+0.20
caltech101,ViT-B/32,4,3,94.17,94.3,-0.13
caltech101,ViT-B/32,8,3,94.43,94.8,-0.37
caltech101,ViT-B/32,16,3,95.29,95.2,+0.09
dtd,ViT-B/32,1,3,49.45,49.8,-0.35
dtd,ViT-B/32,2,3,57.53,57.4,+0.13
dtd,ViT-B/32,4,3,60.77,60.3,+0.47
dtd,ViT-B/32,8,3,63.67,63.7,-0.03
dtd,ViT-B/32,16,3,68.95,68.2,+0.75
ucf101,ViT-B/32,1,3,72.22,72.3,-0.08
ucf101,ViT-B/32,2,3,75.36,75.4,-0.04
ucf101,ViT-B/32,4,3,76.05,76.5,-0.45
ucf101,ViT-B/32,8,3,80.18,80.1,+0.08
ucf101,ViT-B/32,16,3,82.15,82.8,-0.65
